1,Christina,Allbright,R,F,1961-11-27,Fong,94.7,4277 Royal Avenue,New Westminster,BC,V3L5H1,CA,Somematim,Blue
2,Thomas,Koontz,C,M,1955-11-11,Fuller,75.9,4228 St. Paul Street,St Catharines,ON,L2S3A1,CA,Andifear,Blue
3,Julian,Durbin,J,M,1967-12-08,Carter,68.4,4657 rue Garneau,Quebec,QC,G1V3V5,CA,Neven1967,Orange
4,Amy,Zamora,L,F,1995-10-31,Greene,64.5,1913 Kennedy Rd,Cobourg,ON,K9A4J7,CA,Youldn,Blue
5,Carolyn,Gardner,T,F,1990-06-05,Hogue,102.1,3957 Bruce Street,Olivette,MO,63132,US,Blifelve,Silver
6,Kathleen,Austin,J,F,1938-03-23,Bernhardt,53.8,4368 Rogers Road,Toronto,ON,M6E1R1,CA,Councent,Green
7,Randall,Ritzman,M,M,1993-12-05,Dehart,81,244 avenue Royale,Quebec,QC,G1P4R5,CA,Utred1993,Black
8,Shawn,Williams,F,M,1973-11-30,Huff,95.7,3694 Venture Place,Rochester,AB,T0G1Z0,CA,Pereplou73,Blue
9,Lisa,Thornton,D,F,1996-02-14,Leon,78.7,361 Quincy Street,Newark,PA,19714,US,Bandegave,Green
10,Karin,Ellis,J,F,1974-04-30,Mercer,75,375 Metz Lane,Charlestown,MA,2129,US,Cimeney,Black
11,Hilda,Mullins,R,F,2000-03-20,Luis,50.3,2328 Bridgeport Rd,Hamilton,ON,L9A4V3,CA,Aprioned,Purple
12,Timothy,Waldron,E,M,1955-05-05,Kidwell,64.4,112 Old Spallumcheen Rd,Sandspit,BC,V0Y1T0,CA,Brainitterem,Blue
13,Allen,Peterson,N,M,1979-09-02,Hutton,71.9,1592 Melrose Street,Spokane Valley,WA,99206,US,Sivionts,Blue
14,Mary,Griego,M,F,1955-02-04,Tengan,91,4430 Canis Heights Drive,Los Angeles,CA,90017,US,Followly,Purple
15,Theodore,Martinez,L,M,1982-11-23,Jackson,75.4,3286 Eglinton Avenue,Toronto,ON,M4P1A6,CA,Hadowary,Red
16,Jonathan,Halvorson,D,M,1970-03-21,Farris,87.5,4800 Merton Street,Toronto,ON,M1L3K7,CA,Waisenly,Blue
17,Donald,Dye,S,M,1980-12-09,Hall,91.5,1574 9th Ave,Lethbridge,AB,T1J2J7,CA,Expeconen,Orange
18,Louise,Harp,A,F,1944-08-26,Piper,72.1,4714 Melrose Street,Spokane Valley,WA,99206,US,Hopper1944,Purple
19,Patricia,Simpson,J,F,1973-02-26,Wilson,58.6,90 Wellington Street,Toronto,ON,M9C3J5,CA,Grer1973,Blue
20,Lisa,Moyer,J,F,2004-02-23,Sommerfield,72.5,2517 A Avenue,Edmonton,AB,T5J0K7,CA,Neittle,Black
21,Claudette,Allison,A,F,1958-04-08,Boyle,75.3,3322 5th Avenue,Fort Vermilion,AB,T0H1N0,CA,Sirte1958,Blue
22,Susie,Whittaker,C,F,1994-09-15,Bermudez,81,4080 Philadelphia Avenue,West Jordan,UT,84088,US,Whibelf,Purple
23,Carlos,Walker,S,M,1940-01-04,Ouellette,63.5,299 Park Avenue,Sacramento,CA,95814,US,Enterhad,Blue
24,Ray,Lindsey,D,F,1983-12-29,Castle,98.4,3342 Cody Ridge Road,Altus,OK,73521,US,Eired1983,Blue
25,Shaneka,Sanchez,R,F,1956-05-29,Gordon,81.7,4720 rue des Églises Est,Louvicourt,QC,J0Y1Y0,CA,Ruiter,Black
26,Lucille,Lee,L,F,1970-11-15,Jones,63.8,4803 Kimberly Way,Grand Rapids,MI,49546,US,Whinsed,Blue
27,Barbara,Allen,A,F,1984-04-21,Owens,102.4,1614 Custer Street,Marienville,PA,16239,US,Scred1984,Blue
28,Barbara,Graham,C,F,1964-12-17,Lund,91.5,2029 Gordon Street,Los Angeles,CA,90017,US,Ourning,Purple
29,Linda,Smith,S,F,1985-10-11,Potter,72.6,4117 Bridgeport Rd,Hamilton,ON,L9A4V3,CA,Entratis,Green
30,Richard,Heilman,F,M,1991-01-18,Olson,77.8,580 Hillcrest Drive,Tacoma,WA,98402,US,Nained91,Blue
31,Joshua,Ingram,C,M,1993-03-06,Lee,88,438 7th Ave,Calgary,AB,T2P0W4,CA,Leoratte,Blue
32,Sheldon,Hunt,C,M,2001-10-13,Stackhouse,68.2,341 Beaver Creek,Thornhill,ON,L4J1W2,CA,Lawl2001,Blue
33,Verna,Timmins,T,F,1971-04-22,Montoya,104.9,4728 Bloor Street,Sedgewick,AB,T0B4C0,CA,Appidint,Blue
34,Carole,Russell,G,F,1990-09-30,Davis,100,4929 Gorham Street,London,ON,N0N0N0,CA,Mincephy,Purple
35,Lance,Holthaus,M,M,1970-07-09,Lopez,76.1,4111 Churchill Plaza,Sault Ste Marie,ON,P6A1Z2,CA,Therver,Blue
36,Estella,Chaffee,A,F,2000-12-31,Pimentel,51.3,1020 Hamilton Street,Carp,ON,K0A1L0,CA,Inast2000,Blue
37,Willie,Chen,C,M,1966-08-07,Butler,98.5,493 Tanner Street,Vancouver,BC,V5R2T4,CA,Whitted,Brown
38,Eric,Weinberg,D,M,1952-02-29,Reichert,67.7,2558 Airplane Avenue,Hartford,CT,6103,US,Ondur1952,Blue
39,James,Martin,S,M,1951-09-16,Miller,65.8,711 Passaic Street,Washington,DC,20008,US,Pabod1951,Blue
40,Mark,Lloyd,G,M,1962-06-05,Davis,81.6,1333 Hardy Street,Kelowna,BC,V1Y8H2,CA,CÃ¦saingle62,Silver
41,Nell,Wood,C,F,1974-12-02,Murphy,94.3,1404 Tator Patch Road,Chicago,IL,60605,US,Butrarstabor,Blue
42,Jennifer,Cheeks,M,F,1988-01-17,Raines,67.3,244 Heritage Drive,Calgary,AB,T2V2W2,CA,Froned,Red
43,Hector,Buchanan,L,M,1981-04-07,Mills,98.1,3084 Adelaide St,Toronto,ON,M5H1P6,CA,Quitte,Black
44,Forrest,Blair,V,M,1982-10-26,Saladino,107.3,864 A Avenue,Edmonton,AB,T5J0K7,CA,Ciat1982,Orange
45,Dale,Ridgeway,D,M,2003-01-12,Gray,59.4,713 Parkway Street,Newberry,CA,92365,US,Clate2003,Blue
46,Dorothy,Engel,R,F,1948-11-24,McAuliffe,67.9,4891 Sherbrooke Ouest,Montreal,QC,H4A1H3,CA,Trathem,Green
47,Alvaro,Morris,S,M,1966-11-04,Holloway,100.4,1819 Shadowmar Drive,New Orleans,LA,70118,US,Whicke,Blue
48,Joshua,Rice,D,M,1948-03-18,Grimes,84.3,579 Maple Avenue,Boise,ID,83702,US,Brabtleater1948,Blue
49,Alma,Weaver,R,F,1981-08-28,Melendez,76,3076 Red Dog Road,Charlotte,NC,28202,US,Criv1981,Blue
50,Raymond,Lancaster,C,M,1958-04-15,Fink,83.2,2982 West Virginia Avenue,Albany,NY,12210,US,Whimaked58,Blue
51,Anthony,Miranda,H,M,1971-12-15,Curtis,74.4,424 James Street,Burnaby,BC,V5G1J9,CA,Wasseve1971,Blue
52,Francis,Montoya,L,F,1983-12-27,Carson,81.4,822 Bay Street,Toronto,ON,M5J2R8,CA,Siounincid,Black
53,Daisy,Bradley,M,F,1980-07-15,Nalley,93.1,501 Rue King,Sherbrooke,QC,J1H1R4,CA,Onocclacter,Black
54,Amos,Johnson,C,M,1959-02-24,Roberts,84.1,3772 Laurel Lane,Midlands,TX,79756,US,Phemand,Blue
55,Kathy,Schnabel,E,F,1976-07-05,Cherry,93.9,2101 Lynch Street,Appleton,WI,54911,US,Thablooks,Purple
56,Yolanda,Dare,C,F,1944-11-19,McCrimmon,67.9,140 Robson St,Vancouver,BC,V6B3K9,CA,Gerizineink,Green
57,Steven,Meyers,S,M,1998-10-18,Harder,62.1,3159 Wascana Parkway,Regina,SK,S4S2R3,CA,Knowarand,Green
58,Barbara,Exum,L,F,1945-07-11,Nelson,105.9,3049 Aviation Way,Dallas,TX,75207,US,Matifens,Brown
59,Pamela,Carpenter,A,F,1971-11-28,Covington,90.9,2619 Cork St,Guelph,ON,N1H2W8,CA,Ditind1971,Purple
60,Lecia,Byrd,J,F,1969-10-10,Scharff,73.7,1159 Bloor Street,Wainwright,AB,T0B3G0,CA,Herson,Blue
61,Mae,Medina,J,F,1944-03-17,Pemberton,58.8,4295 Saint Francis Way,New Berlin,WI,53151,US,Plee1944,Orange
62,Eddie,Baugh,M,M,2002-01-01,Chapman,84.9,3474 Willis Avenue,Port Orange,FL,32129,US,Bushe2002,Blue
63,Zola,Cheng,F,F,1956-08-12,Stewart,67.8,1083 Wyatt Street,Boca Raton,FL,33487,US,Imation,Blue
64,James,Rios,A,M,1960-07-08,Bowden,90.8,1040 Sampson Street,Westminster,CO,80030,US,Tergelet,Blue
65,Ernest,Rowe,M,M,1945-03-19,Abney,68.9,2893 Queens Bay,Fruitvale,BC,V0G1L0,CA,Lather,Green
66,Ann,Perkins,M,F,1955-09-29,Sorenson,57,1143 Pine Street,Winfield,AB,T0C2X0,CA,Aboddicum1955,Green
67,Matthew,Smith,D,M,2002-06-10,Goodman,80.8,2768 Bank St,Ottawa,ON,K1H7Z1,CA,Expromen,Blue
68,Ana,Gates,R,F,1989-09-01,Logan,70.3,723 Pinnickinick Street,Olympia,WA,98501,US,Sheophy1989,Blue
69,Jeffrey,Lawrence,S,M,1965-02-18,McDevitt,69.7,2833 Yonge Street,Toronto,ON,M4W1J7,CA,Wasing,Blue
70,Sharon,Dixon,A,F,1981-03-17,Parton,71.4,3575 rue Boulay,Ste Helene De Bagot,QC,J0H1M0,CA,Plesn1981,Brown
71,Brian,Santos,L,M,1969-02-02,Bennett,105.7,4342 Blanshard,Victoria,BC,V8W2H9,CA,Abight,Black
72,Donald,Crane,F,M,1955-07-06,Bowen,106.5,1849 Pooz Street,Lexington,TN,38351,US,Hury1955,Blue
73,Elizabeth,Cullen,C,F,2000-05-23,Ellis,96.8,500 Wellington Ave,Chilliwack,BC,V2P2M1,CA,Blan2000,Red
74,Cassandra,Johnson,F,F,1974-02-02,Brumit,83.2,2774 Wilson Street,Escondido,CA,92025,US,Sherion,Blue
75,Thomas,Pickard,C,M,1982-02-26,Paille,107.8,950 Havanna Street,Greensboro,NC,27401,US,Runt1982,Blue
76,Donald,Wright,C,M,1946-10-04,Wallace,84.9,2059 Old Dear Lane,Monroe,NY,10950,US,Reptaked1946,Blue
77,Maria,Christenson,M,F,2004-06-21,Morales,55.8,2648 Wascana Parkway,Regina,SK,S4S2R3,CA,Busbar,Purple
